name:VkGeometryFlagsNV, alias:VkGeometryFlagsKHR, category:bitmask
name:VkGeometryInstanceFlagsNV, alias:VkGeometryInstanceFlagsKHR, category:bitmask
name:VkBuildAccelerationStructureFlagsNV, alias:VkBuildAccelerationStructureFlagsKHR, category:bitmask
name:VkDescriptorUpdateTemplateCreateFlagsKHR, alias:VkDescriptorUpdateTemplateCreateFlags, category:bitmask
name:VkSemaphoreWaitFlagsKHR, alias:VkSemaphoreWaitFlags, category:bitmask
name:VkPeerMemoryFeatureFlagsKHR, alias:VkPeerMemoryFeatureFlags, category:bitmask
name:VkMemoryAllocateFlagsKHR, alias:VkMemoryAllocateFlags, category:bitmask
name:VkCommandPoolTrimFlagsKHR, alias:VkCommandPoolTrimFlags, category:bitmask
name:VkExternalMemoryHandleTypeFlagsKHR, alias:VkExternalMemoryHandleTypeFlags, category:bitmask
name:VkExternalMemoryFeatureFlagsKHR, alias:VkExternalMemoryFeatureFlags, category:bitmask
name:VkExternalSemaphoreHandleTypeFlagsKHR, alias:VkExternalSemaphoreHandleTypeFlags, category:bitmask
name:VkExternalSemaphoreFeatureFlagsKHR, alias:VkExternalSemaphoreFeatureFlags, category:bitmask
name:VkSemaphoreImportFlagsKHR, alias:VkSemaphoreImportFlags, category:bitmask
name:VkExternalFenceHandleTypeFlagsKHR, alias:VkExternalFenceHandleTypeFlags, category:bitmask
name:VkExternalFenceFeatureFlagsKHR, alias:VkExternalFenceFeatureFlags, category:bitmask
name:VkFenceImportFlagsKHR, alias:VkFenceImportFlags, category:bitmask
name:VkDescriptorBindingFlagsEXT, alias:VkDescriptorBindingFlags, category:bitmask
name:VkResolveModeFlagsKHR, alias:VkResolveModeFlags, category:bitmask
name:VkDescriptorUpdateTemplateKHR, alias:VkDescriptorUpdateTemplate, category:handle
name:VkSamplerYcbcrConversionKHR, alias:VkSamplerYcbcrConversion, category:handle
name:VkAccelerationStructureNV, alias:VkAccelerationStructureKHR, category:handle
name:VkAttachmentLoadOp, alias:, category:enum
name:VkAttachmentStoreOp, alias:, category:enum
name:VkBlendFactor, alias:, category:enum
name:VkBlendOp, alias:, category:enum
name:VkBorderColor, alias:, category:enum
name:VkFramebufferCreateFlagBits, alias:, category:enum
name:VkQueryPoolCreateFlagBits, alias:, category:enum
name:VkRenderPassCreateFlagBits, alias:, category:enum
name:VkSamplerCreateFlagBits, alias:, category:enum
name:VkPipelineCacheHeaderVersion, alias:, category:enum
name:VkPipelineLayoutCreateFlagBits, alias:, category:enum
name:VkPipelineCacheCreateFlagBits, alias:, category:enum
name:VkPipelineDepthStencilStateCreateFlagBits, alias:, category:enum
name:VkPipelineDynamicStateCreateFlagBits, alias:, category:enum
name:VkPipelineColorBlendStateCreateFlagBits, alias:, category:enum
name:VkPipelineMultisampleStateCreateFlagBits, alias:, category:enum
name:VkPipelineRasterizationStateCreateFlagBits, alias:, category:enum
name:VkPipelineViewportStateCreateFlagBits, alias:, category:enum
name:VkPipelineTessellationStateCreateFlagBits, alias:, category:enum
name:VkPipelineInputAssemblyStateCreateFlagBits, alias:, category:enum
name:VkPipelineVertexInputStateCreateFlagBits, alias:, category:enum
name:VkPipelineShaderStageCreateFlagBits, alias:, category:enum
name:VkDescriptorSetLayoutCreateFlagBits, alias:, category:enum
name:VkBufferViewCreateFlagBits, alias:, category:enum
name:VkInstanceCreateFlagBits, alias:, category:enum
name:VkDeviceQueueCreateFlagBits, alias:, category:enum
name:VkBufferCreateFlagBits, alias:, category:enum
name:VkBufferUsageFlagBits, alias:, category:enum
name:VkColorComponentFlagBits, alias:, category:enum
name:VkComponentSwizzle, alias:, category:enum
name:VkCommandPoolCreateFlagBits, alias:, category:enum
name:VkCommandPoolResetFlagBits, alias:, category:enum
name:VkCommandBufferResetFlagBits, alias:, category:enum
name:VkCommandBufferLevel, alias:, category:enum
name:VkCommandBufferUsageFlagBits, alias:, category:enum
name:VkCompareOp, alias:, category:enum
name:VkCullModeFlagBits, alias:, category:enum
name:VkDescriptorType, alias:, category:enum
name:VkDeviceCreateFlagBits, alias:, category:enum
name:VkDynamicState, alias:, category:enum
name:VkFenceCreateFlagBits, alias:, category:enum
name:VkPolygonMode, alias:, category:enum
name:VkFormat, alias:, category:enum
name:VkFormatFeatureFlagBits, alias:, category:enum
name:VkFrontFace, alias:, category:enum
name:VkImageAspectFlagBits, alias:, category:enum
name:VkImageCreateFlagBits, alias:, category:enum
name:VkImageLayout, alias:, category:enum
name:VkImageTiling, alias:, category:enum
name:VkImageType, alias:, category:enum
name:VkImageUsageFlagBits, alias:, category:enum
name:VkImageViewCreateFlagBits, alias:, category:enum
name:VkImageViewType, alias:, category:enum
name:VkSharingMode, alias:, category:enum
name:VkIndexType, alias:, category:enum
name:VkLogicOp, alias:, category:enum
name:VkMemoryHeapFlagBits, alias:, category:enum
name:VkAccessFlagBits, alias:, category:enum
name:VkMemoryPropertyFlagBits, alias:, category:enum
name:VkPhysicalDeviceType, alias:, category:enum
name:VkPipelineBindPoint, alias:, category:enum
name:VkPipelineCreateFlagBits, alias:, category:enum
name:VkPrimitiveTopology, alias:, category:enum
name:VkQueryControlFlagBits, alias:, category:enum
name:VkQueryPipelineStatisticFlagBits, alias:, category:enum
name:VkQueryResultFlagBits, alias:, category:enum
name:VkQueryType, alias:, category:enum
name:VkQueueFlagBits, alias:, category:enum
name:VkSubpassContents, alias:, category:enum
name:VkResult, alias:, category:enum
name:VkShaderStageFlagBits, alias:, category:enum
name:VkSparseMemoryBindFlagBits, alias:, category:enum
name:VkStencilFaceFlagBits, alias:, category:enum
name:VkStencilOp, alias:, category:enum
name:VkStructureType, alias:, category:enum
name:VkSystemAllocationScope, alias:, category:enum
name:VkInternalAllocationType, alias:, category:enum
name:VkSamplerAddressMode, alias:, category:enum
name:VkFilter, alias:, category:enum
name:VkSamplerMipmapMode, alias:, category:enum
name:VkVertexInputRate, alias:, category:enum
name:VkPipelineStageFlagBits, alias:, category:enum
name:VkSparseImageFormatFlagBits, alias:, category:enum
name:VkSampleCountFlagBits, alias:, category:enum
name:VkAttachmentDescriptionFlagBits, alias:, category:enum
name:VkDescriptorPoolCreateFlagBits, alias:, category:enum
name:VkDependencyFlagBits, alias:, category:enum
name:VkObjectType, alias:, category:enum
name:VkIndirectCommandsLayoutUsageFlagBitsNV, alias:, category:enum
name:VkIndirectCommandsTokenTypeNV, alias:, category:enum
name:VkIndirectStateFlagBitsNV, alias:, category:enum
name:VkDescriptorUpdateTemplateType, alias:, category:enum
name:VkDescriptorUpdateTemplateTypeKHR, alias:VkDescriptorUpdateTemplateType, category:enum
name:VkViewportCoordinateSwizzleNV, alias:, category:enum
name:VkDiscardRectangleModeEXT, alias:, category:enum
name:VkSubpassDescriptionFlagBits, alias:, category:enum
name:VkPointClippingBehavior, alias:, category:enum
name:VkPointClippingBehaviorKHR, alias:VkPointClippingBehavior, category:enum
name:VkCoverageModulationModeNV, alias:, category:enum
name:VkCoverageReductionModeNV, alias:, category:enum
name:VkValidationCacheHeaderVersionEXT, alias:, category:enum
name:VkShaderInfoTypeAMD, alias:, category:enum
name:VkQueueGlobalPriorityEXT, alias:, category:enum
name:VkTimeDomainEXT, alias:, category:enum
name:VkConservativeRasterizationModeEXT, alias:, category:enum
name:VkResolveModeFlagBits, alias:, category:enum
name:VkResolveModeFlagBitsKHR, alias:VkResolveModeFlagBits, category:enum
name:VkDescriptorBindingFlagBits, alias:, category:enum
name:VkDescriptorBindingFlagBitsEXT, alias:VkDescriptorBindingFlagBits, category:enum
name:VkConditionalRenderingFlagBitsEXT, alias:, category:enum
name:VkSemaphoreType, alias:, category:enum
name:VkSemaphoreTypeKHR, alias:VkSemaphoreType, category:enum
name:VkGeometryFlagBitsKHR, alias:, category:enum
name:VkGeometryFlagBitsNV, alias:VkGeometryFlagBitsKHR, category:enum
name:VkGeometryInstanceFlagBitsKHR, alias:, category:enum
name:VkGeometryInstanceFlagBitsNV, alias:VkGeometryInstanceFlagBitsKHR, category:enum
name:VkBuildAccelerationStructureFlagBitsKHR, alias:, category:enum
name:VkBuildAccelerationStructureFlagBitsNV, alias:VkBuildAccelerationStructureFlagBitsKHR, category:enum
name:VkCopyAccelerationStructureModeKHR, alias:, category:enum
name:VkCopyAccelerationStructureModeNV, alias:VkCopyAccelerationStructureModeKHR, category:enum
name:VkAccelerationStructureTypeKHR, alias:, category:enum
name:VkAccelerationStructureTypeNV, alias:VkAccelerationStructureTypeKHR, category:enum
name:VkGeometryTypeKHR, alias:, category:enum
name:VkGeometryTypeNV, alias:VkGeometryTypeKHR, category:enum
name:VkRayTracingShaderGroupTypeKHR, alias:, category:enum
name:VkRayTracingShaderGroupTypeNV, alias:VkRayTracingShaderGroupTypeKHR, category:enum
name:VkAccelerationStructureMemoryRequirementsTypeKHR, alias:, category:enum
name:VkAccelerationStructureMemoryRequirementsTypeNV, alias:VkAccelerationStructureMemoryRequirementsTypeKHR, category:enum
name:VkAccelerationStructureBuildTypeKHR, alias:, category:enum
name:VkMemoryOverallocationBehaviorAMD, alias:, category:enum
name:VkScopeNV, alias:, category:enum
name:VkComponentTypeNV, alias:, category:enum
name:VkDeviceDiagnosticsConfigFlagBitsNV, alias:, category:enum
name:VkPipelineCreationFeedbackFlagBitsEXT, alias:, category:enum
name:VkPerformanceCounterScopeKHR, alias:, category:enum
name:VkPerformanceCounterUnitKHR, alias:, category:enum
name:VkPerformanceCounterStorageKHR, alias:, category:enum
name:VkPerformanceCounterDescriptionFlagBitsKHR, alias:, category:enum
name:VkAcquireProfilingLockFlagBitsKHR, alias:, category:enum
name:VkSemaphoreWaitFlagBits, alias:, category:enum
name:VkSemaphoreWaitFlagBitsKHR, alias:VkSemaphoreWaitFlagBits, category:enum
name:VkPerformanceConfigurationTypeINTEL, alias:, category:enum
name:VkQueryPoolSamplingModeINTEL, alias:, category:enum
name:VkPerformanceOverrideTypeINTEL, alias:, category:enum
name:VkPerformanceParameterTypeINTEL, alias:, category:enum
name:VkPerformanceValueTypeINTEL, alias:, category:enum
name:VkLineRasterizationModeEXT, alias:, category:enum
name:VkShaderModuleCreateFlagBits, alias:, category:enum
name:VkPipelineCompilerControlFlagBitsAMD, alias:, category:enum
name:VkShaderCorePropertiesFlagBitsAMD, alias:, category:enum
name:VkToolPurposeFlagBitsEXT, alias:, category:enum
name:VkColorSpaceKHR, alias:, category:enum
name:VkCompositeAlphaFlagBitsKHR, alias:, category:enum
name:VkDisplayPlaneAlphaFlagBitsKHR, alias:, category:enum
name:VkPresentModeKHR, alias:, category:enum
name:VkSurfaceTransformFlagBitsKHR, alias:, category:enum
name:VkDebugReportFlagBitsEXT, alias:, category:enum
name:VkDebugReportObjectTypeEXT, alias:, category:enum
name:VkRasterizationOrderAMD, alias:, category:enum
name:VkExternalMemoryHandleTypeFlagBitsNV, alias:, category:enum
name:VkExternalMemoryFeatureFlagBitsNV, alias:, category:enum
name:VkValidationCheckEXT, alias:, category:enum
name:VkValidationFeatureEnableEXT, alias:, category:enum
name:VkValidationFeatureDisableEXT, alias:, category:enum
name:VkExternalMemoryHandleTypeFlagBits, alias:, category:enum
name:VkExternalMemoryHandleTypeFlagBitsKHR, alias:VkExternalMemoryHandleTypeFlagBits, category:enum
name:VkExternalMemoryFeatureFlagBits, alias:, category:enum
name:VkExternalMemoryFeatureFlagBitsKHR, alias:VkExternalMemoryFeatureFlagBits, category:enum
name:VkExternalSemaphoreHandleTypeFlagBits, alias:, category:enum
name:VkExternalSemaphoreHandleTypeFlagBitsKHR, alias:VkExternalSemaphoreHandleTypeFlagBits, category:enum
name:VkExternalSemaphoreFeatureFlagBits, alias:, category:enum
name:VkExternalSemaphoreFeatureFlagBitsKHR, alias:VkExternalSemaphoreFeatureFlagBits, category:enum
name:VkSemaphoreImportFlagBits, alias:, category:enum
name:VkSemaphoreImportFlagBitsKHR, alias:VkSemaphoreImportFlagBits, category:enum
name:VkExternalFenceHandleTypeFlagBits, alias:, category:enum
name:VkExternalFenceHandleTypeFlagBitsKHR, alias:VkExternalFenceHandleTypeFlagBits, category:enum
name:VkExternalFenceFeatureFlagBits, alias:, category:enum
name:VkExternalFenceFeatureFlagBitsKHR, alias:VkExternalFenceFeatureFlagBits, category:enum
name:VkFenceImportFlagBits, alias:, category:enum
name:VkFenceImportFlagBitsKHR, alias:VkFenceImportFlagBits, category:enum
name:VkSurfaceCounterFlagBitsEXT, alias:, category:enum
name:VkDisplayPowerStateEXT, alias:, category:enum
name:VkDeviceEventTypeEXT, alias:, category:enum
name:VkDisplayEventTypeEXT, alias:, category:enum
name:VkPeerMemoryFeatureFlagBits, alias:, category:enum
name:VkPeerMemoryFeatureFlagBitsKHR, alias:VkPeerMemoryFeatureFlagBits, category:enum
name:VkMemoryAllocateFlagBits, alias:, category:enum
name:VkMemoryAllocateFlagBitsKHR, alias:VkMemoryAllocateFlagBits, category:enum
name:VkDeviceGroupPresentModeFlagBitsKHR, alias:, category:enum
name:VkSwapchainCreateFlagBitsKHR, alias:, category:enum
name:VkSubgroupFeatureFlagBits, alias:, category:enum
name:VkTessellationDomainOrigin, alias:, category:enum
name:VkTessellationDomainOriginKHR, alias:VkTessellationDomainOrigin, category:enum
name:VkSamplerYcbcrModelConversion, alias:, category:enum
name:VkSamplerYcbcrModelConversionKHR, alias:VkSamplerYcbcrModelConversion, category:enum
name:VkSamplerYcbcrRange, alias:, category:enum
name:VkSamplerYcbcrRangeKHR, alias:VkSamplerYcbcrRange, category:enum
name:VkChromaLocation, alias:, category:enum
name:VkChromaLocationKHR, alias:VkChromaLocation, category:enum
name:VkSamplerReductionMode, alias:, category:enum
name:VkSamplerReductionModeEXT, alias:VkSamplerReductionMode, category:enum
name:VkBlendOverlapEXT, alias:, category:enum
name:VkDebugUtilsMessageSeverityFlagBitsEXT, alias:, category:enum
name:VkDebugUtilsMessageTypeFlagBitsEXT, alias:, category:enum
name:VkFullScreenExclusiveEXT, alias:, category:enum
name:VkShaderFloatControlsIndependence, alias:, category:enum
name:VkShaderFloatControlsIndependenceKHR, alias:VkShaderFloatControlsIndependence, category:enum
name:VkSwapchainImageUsageFlagBitsANDROID, alias:, category:enum
name:VkVendorId, alias:, category:enum
name:VkDriverId, alias:, category:enum
name:VkDriverIdKHR, alias:VkDriverId, category:enum
name:VkShadingRatePaletteEntryNV, alias:, category:enum
name:VkCoarseSampleOrderTypeNV, alias:, category:enum
name:VkPipelineExecutableStatisticFormatKHR, alias:, category:enum
name:VkPhysicalDeviceFeatures2KHR, alias:VkPhysicalDeviceFeatures2, category:struct
name:VkPhysicalDeviceProperties2KHR, alias:VkPhysicalDeviceProperties2, category:struct
name:VkFormatProperties2KHR, alias:VkFormatProperties2, category:struct
name:VkImageFormatProperties2KHR, alias:VkImageFormatProperties2, category:struct
name:VkPhysicalDeviceImageFormatInfo2KHR, alias:VkPhysicalDeviceImageFormatInfo2, category:struct
name:VkQueueFamilyProperties2KHR, alias:VkQueueFamilyProperties2, category:struct
name:VkPhysicalDeviceMemoryProperties2KHR, alias:VkPhysicalDeviceMemoryProperties2, category:struct
name:VkSparseImageFormatProperties2KHR, alias:VkSparseImageFormatProperties2, category:struct
name:VkPhysicalDeviceSparseImageFormatInfo2KHR, alias:VkPhysicalDeviceSparseImageFormatInfo2, category:struct
name:VkConformanceVersionKHR, alias:VkConformanceVersion, category:struct
name:VkPhysicalDeviceDriverPropertiesKHR, alias:VkPhysicalDeviceDriverProperties, category:struct
name:VkPhysicalDeviceVariablePointersFeaturesKHR, alias:VkPhysicalDeviceVariablePointersFeatures, category:struct
name:VkPhysicalDeviceVariablePointerFeaturesKHR, alias:VkPhysicalDeviceVariablePointersFeatures, category:struct
name:VkPhysicalDeviceVariablePointerFeatures, alias:VkPhysicalDeviceVariablePointersFeatures, category:struct
name:VkExternalMemoryPropertiesKHR, alias:VkExternalMemoryProperties, category:struct
name:VkPhysicalDeviceExternalImageFormatInfoKHR, alias:VkPhysicalDeviceExternalImageFormatInfo, category:struct
name:VkExternalImageFormatPropertiesKHR, alias:VkExternalImageFormatProperties, category:struct
name:VkPhysicalDeviceExternalBufferInfoKHR, alias:VkPhysicalDeviceExternalBufferInfo, category:struct
name:VkExternalBufferPropertiesKHR, alias:VkExternalBufferProperties, category:struct
name:VkPhysicalDeviceIDPropertiesKHR, alias:VkPhysicalDeviceIDProperties, category:struct
name:VkExternalMemoryImageCreateInfoKHR, alias:VkExternalMemoryImageCreateInfo, category:struct
name:VkExternalMemoryBufferCreateInfoKHR, alias:VkExternalMemoryBufferCreateInfo, category:struct
name:VkExportMemoryAllocateInfoKHR, alias:VkExportMemoryAllocateInfo, category:struct
name:VkPhysicalDeviceExternalSemaphoreInfoKHR, alias:VkPhysicalDeviceExternalSemaphoreInfo, category:struct
name:VkExternalSemaphorePropertiesKHR, alias:VkExternalSemaphoreProperties, category:struct
name:VkExportSemaphoreCreateInfoKHR, alias:VkExportSemaphoreCreateInfo, category:struct
name:VkPhysicalDeviceExternalFenceInfoKHR, alias:VkPhysicalDeviceExternalFenceInfo, category:struct
name:VkExternalFencePropertiesKHR, alias:VkExternalFenceProperties, category:struct
name:VkExportFenceCreateInfoKHR, alias:VkExportFenceCreateInfo, category:struct
name:VkPhysicalDeviceMultiviewFeaturesKHR, alias:VkPhysicalDeviceMultiviewFeatures, category:struct
name:VkPhysicalDeviceMultiviewPropertiesKHR, alias:VkPhysicalDeviceMultiviewProperties, category:struct
name:VkRenderPassMultiviewCreateInfoKHR, alias:VkRenderPassMultiviewCreateInfo, category:struct
name:VkPhysicalDeviceGroupPropertiesKHR, alias:VkPhysicalDeviceGroupProperties, category:struct
name:VkMemoryAllocateFlagsInfoKHR, alias:VkMemoryAllocateFlagsInfo, category:struct
name:VkBindBufferMemoryInfoKHR, alias:VkBindBufferMemoryInfo, category:struct
name:VkBindBufferMemoryDeviceGroupInfoKHR, alias:VkBindBufferMemoryDeviceGroupInfo, category:struct
name:VkBindImageMemoryInfoKHR, alias:VkBindImageMemoryInfo, category:struct
name:VkBindImageMemoryDeviceGroupInfoKHR, alias:VkBindImageMemoryDeviceGroupInfo, category:struct
name:VkDeviceGroupRenderPassBeginInfoKHR, alias:VkDeviceGroupRenderPassBeginInfo, category:struct
name:VkDeviceGroupCommandBufferBeginInfoKHR, alias:VkDeviceGroupCommandBufferBeginInfo, category:struct
name:VkDeviceGroupSubmitInfoKHR, alias:VkDeviceGroupSubmitInfo, category:struct
name:VkDeviceGroupBindSparseInfoKHR, alias:VkDeviceGroupBindSparseInfo, category:struct
